"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"L1,L2";"COIL";2;"1mH";;;
2;"P1,P2,P3,P4";"POT";4;"10k";;;
3;"X1";"Crystal_HC49-SD_SMD";1;"8MHz";;;
4;"X2";"Crystal_HC49-SD_SMD";1;"7.3721MHz";;;
5;"Y1,Y2";"MountPad3";2;"MountPad3";;;
6;"Y3,Y4";"SMD_Pinheader_8";2;"CONN_01X08";;;
7;"Y7";"PLUG3_5_SMD";1;"PLUG_3_5_SMD";;;
8;"Y5,Y6";"SMD_Pinheader_6";2;"CONN_01X06";;;
9;"D1,D2";"SOT-23";2;"BB914";;;
10;"SW1";"SW_PUSH_6mm";1;"SW_PUSH";;;
11;"D3,D4";"LED-0603";2;"LED";;;
12;"REF**,REF**";"MountingHoleRound3mm";2;"MountingHoleRound3mm";;;
13;"R7,R16,R15,R8,R4,R3";"0805G";6;"100k";;;
14;"R19,R18";"0805G";2;"390";;;
15;"C28,C27,C26,C25,C24,C23,C13,C6";"0805G";8;"100nF";;;
16;"R17";"0805G";1;"2.2k";;;
17;"C22";"0805G";1;"10n";;;
18;"C21,C20";"0805G";2;"100n";;;
19;"C19,C18,C17,C16,C15,C11,C4";"0805G";7;"33pF";;;
20;"C14,C7";"0805G";2;"1n";;;
21;"C12,C5";"0805G";2;"83pF";;;
22;"C10,C9,C3,C2";"0805G";4;"50pF";;;
23;"C8,C1";"0805G";2;"330pF";;;
24;"R14,R12";"0805G";2;"470";;;
25;"R13,R11,R5,R1";"0805G";4;"4.7M";;;
26;"R10,R9,R20";"0805G";3;"4.7k";;;
27;"R6,R2";"0805G";2;"10k";;;
28;"C29";"0805G";1;"CP_Small";;;
29;"U7";"SOIC-14_N";1;"MCP4922-E/SL";;;
30;"U4";"SOIC-14_N";1;"74HC74";;;
31;"U5";"SOIC-14_N";1;"4069";;;
32;"U2,U3";"SOIC-16_N";2;"4060";;;
33;"U6";"SOIC-08_N";1;"MCP4921-E/SN";;;
34;"U8";"SOIC-08_N";1;"LM358 / MCP6002";;;
35;"U1";"ArduinoUNO";1;"Arduino_UNO_R2";;;
36;"G***";"Theremin_Roy1";1;"LOGO";;;
37;"G***";"OpenHardwareLogo";1;"LOGO";;;
38;"R21";"0805G";1;"47K";;;
39;"R22";"0805G";1;"100K";;;
40;"U9";"SOIC-08_N";1;"LM385";;;
41;"TP5";"PAD_SMD_3mm";1;"VREF";;;
42;"G***";"SGMKLogo";1;"LOGO";;;
43;"G***";"Peace_logo";1;"LOGO";;;
44;"REF**,REF**";"Fiducial_1mm_Dia_2.54mm_Outer_CopperTop";2;"Fiducial_1mm_Dia_2.54mm_Outer_CopperTop";;;
45;"GROUND1";"MeasurePad_Square_wHole_2mm";1;"GND_PAD";;;
46;"TP7";"MeasurePad_Square_wHole_2mm";1;"VOLUME ANTENNA";;;
47;"TP6";"MeasurePad_Square_wHole_2mm";1;"PITCH ANTENNA";;;
48;"P6";"MeasurePad_Square_wHole_2mm";1;"SP-";;;
49;"P5";"MeasurePad_Square_wHole_2mm";1;"SP+";;;
50;"TP4";"MeasurePad_Square_wHole_2mm";1;"F_VOL";;;
51;"TP3";"MeasurePad_Square_wHole_2mm";1;"F_PITCH";;;
52;"TP2";"MeasurePad_Square_wHole_2mm";1;"VO_VOL";;;
53;"TP1";"MeasurePad_Square_wHole_2mm";1;"VO_PITCH";;;
